what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550702067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550703093
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550703394
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550704778
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550704989
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550706755
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550708979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780550716832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550717340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550752529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550756268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550762576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550765304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550778245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780550789202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550791787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550818823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550819695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550823790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550828250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550838780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550839160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550872246
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780550873133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550875364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550876430
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550876783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550876788
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550878197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550878400
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550878405
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550880210
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550882476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550891567
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780550896763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550899754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550900775
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550901081
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550902420
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550902688
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550904403
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550906639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550911534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550969877
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780550970935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780550971550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780550972187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550972738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550974585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780550974600
